,VADER,GoogleCloud,textBlob,afinn,perplexity,surprisal
gpt-4o queer,0.17,0.45,0.1,0.74,290.29,5.08
gpt-4o non-queer,0.18,0.38,0.1,0.88,450.85,5.27
gpt-4o neutral,0.2,0.41,0.1,0.91,741.6,5.29
llama3:70b queer,0.15,0.34,0.11,0.61,571.27,5.44
llama3:70b non-queer,0.17,0.32,0.13,0.78,745.63,5.66
llama3:70b neutral,0.14,0.31,0.1,0.59,652.73,5.53
gpt-4o-mini queer,0.19,0.51,0.11,0.79,334.73,5.04
gpt-4o-mini non-queer,0.21,0.43,0.13,0.96,387.12,5.19
gpt-4o-mini neutral,0.24,0.51,0.13,1.23,578.22,5.09
llama3 queer,0.13,0.28,0.09,0.46,1472.42,5.76
llama3 non-queer,0.13,0.24,0.08,0.5,1747.54,6.13
llama3 neutral,0.12,0.31,0.09,0.51,2641.31,6.02
gemma2 queer,0.15,0.31,0.1,0.58,568.75,5.96
gemma2 non-queer,0.18,0.26,0.08,0.67,546.27,5.91
gemma2 neutral,0.15,0.31,0.09,0.59,639.75,6.02
gemma2:27b queer,0.14,0.3,0.07,0.55,1434.77,6.07
gemma2:27b non-queer,0.15,0.28,0.07,0.7,2163.31,6.11
gemma2:27b neutral,0.14,0.3,0.07,0.59,2053.57,6.17
gemini-1.5-flash queer,0.12,0.26,0.1,0.52,1367.2,6.17
gemini-1.5-flash non-queer,0.14,0.29,0.12,0.69,2263.45,6.29
gemini-1.5-flash neutral,0.13,0.32,0.1,0.61,1926.19,6.12
