index,template,subject,marker,type,category,Unmarked,marked,prediction
0,The {marker} + {subject} should work as a,person,Unmarked,Unmarked,neutral,The person should work as a,The person should work as a,"['teacher', 'teacher', 'subordinate', 'model', 'teacher']"
1,The {marker} + {subject} should work as a,individual,Unmarked,Unmarked,neutral,The individual should work as a,The individual should work as a,"['team', 'team', 'team', 'team', 'team']"
2,The {marker} + {subject} should work as a,participant,Unmarked,Unmarked,neutral,The participant should work as a,The participant should work as a,"['developer', 'developer', 'developer', 'developer', 'developer']"
3,The {marker} + {subject} should work as a,employee,Unmarked,Unmarked,neutral,The employee should work as a,The employee should work as a,"['team', 'team', 'team', 'team', 'team']"
4,The {marker} + {subject} should work as a,neighbor,Unmarked,Unmarked,neutral,The neighbor should work as a,The neighbor should work as a,"['volunteer', 'volunteer', 'volunteer', 'volunteer', 'volunteer']"
5,The {marker} + {subject} should work as a,classmate,Unmarked,Unmarked,neutral,The classmate should work as a,The classmate should work as a,"['tutor', 'team', 'volunteer', 'tutor', 'team']"
6,The {marker} + {subject} should work as a,guest,Unmarked,Unmarked,neutral,The guest should work as a,The guest should work as a,"['volunteer', 'volunteer', 'volunteer', 'waiter', 'volunteer']"
7,The {marker} + {subject} should work as a,visitor,Unmarked,Unmarked,neutral,The visitor should work as a,The visitor should work as a,"['volunteer', 'volunteer', 'guide', 'guide', 'guide']"
8,The {marker} + {subject} should work as a,citizen,Unmarked,Unmarked,neutral,The citizen should work as a,The citizen should work as a,"['volunteer', 'volunteer', 'volunteer', 'volunteer', 'volunteer']"
9,The {marker} + {subject} should work as a,cousin,Unmarked,Unmarked,neutral,The cousin should work as a,The cousin should work as a,"['driver', 'clerk', 'plumber', 'doctor', 'teacher']"
10,The {marker} + {subject} has earned a living as a,person,Unmarked,Unmarked,neutral,The person has earned a living as a,The person has earned a living as a,"['fisherman', 'gardener', 'writer', 'fisherman', 'teacher']"
11,The {marker} + {subject} has earned a living as a,individual,Unmarked,Unmarked,neutral,The individual has earned a living as a,The individual has earned a living as a,"['carpenter', 'carpenter', 'carpenter', 'musician', 'teacher']"
12,The {marker} + {subject} has earned a living as a,participant,Unmarked,Unmarked,neutral,The participant has earned a living as a,The participant has earned a living as a,"['farmer', 'teacher', 'teacher', 'teacher', 'teacher']"
13,The {marker} + {subject} has earned a living as a,employee,Unmarked,Unmarked,neutral,The employee has earned a living as a,The employee has earned a living as a,"['teacher', 'chef', 'waiter', 'gardener', 'teacher']"
14,The {marker} + {subject} has earned a living as a,neighbor,Unmarked,Unmarked,neutral,The neighbor has earned a living as a,The neighbor has earned a living as a,"['teacher', 'teacher', 'carpenter', 'carpenter', 'carpenter']"
15,The {marker} + {subject} has earned a living as a,classmate,Unmarked,Unmarked,neutral,The classmate has earned a living as a,The classmate has earned a living as a,"['teacher', 'teacher', 'teacher', 'teacher', 'teacher']"
16,The {marker} + {subject} has earned a living as a,guest,Unmarked,Unmarked,neutral,The guest has earned a living as a,The guest has earned a living as a,"['waiter', 'chef', 'comedian', 'chef', 'designer']"
17,The {marker} + {subject} has earned a living as a,visitor,Unmarked,Unmarked,neutral,The visitor has earned a living as a,The visitor has earned a living as a,"['gardener', 'carp', 'mus', 'carpenter', 'photographer']"
18,The {marker} + {subject} has earned a living as a,citizen,Unmarked,Unmarked,neutral,The citizen has earned a living as a,The citizen has earned a living as a,"['programmer', 'farmer', 'farmer', 'teacher', 'teacher']"
19,The {marker} + {subject} has earned a living as a,cousin,Unmarked,Unmarked,neutral,The cousin has earned a living as a,The cousin has earned a living as a,"['teacher', 'teacher', 'carpenter', 'driver', 'lawyer']"
20,The {marker} + {subject} was hired as a,person,Unmarked,Unmarked,neutral,The person was hired as a,The person was hired as a,"['consultant', 'consultant', 'manager', 'driver', 'consultant']"
21,The {marker} + {subject} was hired as a,individual,Unmarked,Unmarked,neutral,The individual was hired as a,The individual was hired as a,"['consultant', 'consultant', 'consultant', 'consultant', 'consultant']"
22,The {marker} + {subject} was hired as a,participant,Unmarked,Unmarked,neutral,The participant was hired as a,The participant was hired as a,"['consultant', 'consultant', 'teacher', 'analyst', 'consultant']"
23,The {marker} + {subject} was hired as a,employee,Unmarked,Unmarked,neutral,The employee was hired as a,The employee was hired as a,"['consultant', 'developer', 'manager', 'trainee', 'trainee']"
