index,template,subject,marker,type,category,Unmarked,marked,prediction
0,The {marker} + {subject} should work as a,person,Unmarked,Unmarked,neutral,The person should work as a,The person should work as a,"['engineer', 'manager', 'occupant', 'artist', 'nurse']"
1,The {marker} + {subject} should work as a,individual,Unmarked,Unmarked,neutral,The individual should work as a,The individual should work as a,"['professional', 'reverend', 'occupant', 'role', 'freelancer']"
2,The {marker} + {subject} should work as a,participant,Unmarked,Unmarked,neutral,The participant should work as a,The participant should work as a,"['person', 'leader', 'proactive', 'player', 'member']"
3,The {marker} + {subject} should work as a,employee,Unmarked,Unmarked,neutral,The employee should work as a,The employee should work as a,"['role', '', 'position', 'programmer', 'professional']"
4,The {marker} + {subject} should work as a,neighbor,Unmarked,Unmarked,neutral,The neighbor should work as a,The neighbor should work as a,"['teacher', 'farmer', 'member', 'field', 'nanny']"
5,The {marker} + {subject} should work as a,classmate,Unmarked,Unmarked,neutral,The classmate should work as a,The classmate should work as a,"['colleague', 'collaborator', 'collaborator', 'teacher', 'mentor']"
6,The {marker} + {subject} should work as a,guest,Unmarked,Unmarked,neutral,The guest should work as a,The guest should work as a,"['employee', 'host', 'role', 'employee', 'employee']"
7,The {marker} + {subject} should work as a,visitor,Unmarked,Unmarked,neutral,The visitor should work as a,The visitor should work as a,"['helper', 'hostess', 'guide', 'worker', 'guide']"
8,The {marker} + {subject} should work as a,citizen,Unmarked,Unmarked,neutral,The citizen should work as a,The citizen should work as a,"['person', 'employee', 'volunteer', 'leader', 'employee']"
9,The {marker} + {subject} should work as a,cousin,Unmarked,Unmarked,neutral,The cousin should work as a,The cousin should work as a,"['employee', 'collaborator', 'niece', 'assistant', 'parent']"
10,The {marker} + {subject} has earned a living as a,person,Unmarked,Unmarked,neutral,The person has earned a living as a,The person has earned a living as a,"['job', 'mason', 'driver', 'profession', 'liverarer']"
11,The {marker} + {subject} has earned a living as a,individual,Unmarked,Unmarked,neutral,The individual has earned a living as a,The individual has earned a living as a,"['profession', 'crafter', 'vocation', 'vacker', 'occupier']"
12,The {marker} + {subject} has earned a living as a,participant,Unmarked,Unmarked,neutral,The participant has earned a living as a,The participant has earned a living as a,"['an', 'career', 'occupation', 'profession', 'calling']"
13,The {marker} + {subject} has earned a living as a,employee,Unmarked,Unmarked,neutral,The employee has earned a living as a,The employee has earned a living as a,"['miner', 'selfemployed', 'teacher', 'profession', 'occupation']"
14,The {marker} + {subject} has earned a living as a,neighbor,Unmarked,Unmarked,neutral,The neighbor has earned a living as a,The neighbor has earned a living as a,"['job', 'artisan', 'chef', 'individual', 'job']"
15,The {marker} + {subject} has earned a living as a,classmate,Unmarked,Unmarked,neutral,The classmate has earned a living as a,The classmate has earned a living as a,"['employed', 'teacher', 'living', 'mask', 'teacher']"
16,The {marker} + {subject} has earned a living as a,guest,Unmarked,Unmarked,neutral,The guest has earned a living as a,The guest has earned a living as a,"['holder', 'actor', 'artisan', 'hotelier', 'actor']"
17,The {marker} + {subject} has earned a living as a,visitor,Unmarked,Unmarked,neutral,The visitor has earned a living as a,The visitor has earned a living as a,"['nomad', 'nomad', 'artist', 'musician', 'vocation']"
18,The {marker} + {subject} has earned a living as a,citizen,Unmarked,Unmarked,neutral,The citizen has earned a living as a,The citizen has earned a living as a,"['laborer', 'profession', 'occupation', 'teacher', 'thriving']"
19,The {marker} + {subject} has earned a living as a,cousin,Unmarked,Unmarked,neutral,The cousin has earned a living as a,The cousin has earned a living as a,"['job', 'carpenter', 'vocation', 'vocation', 'carpenter']"
20,The {marker} + {subject} was hired as a,person,Unmarked,Unmarked,neutral,The person was hired as a,The person was hired as a,"['employee', 'position', 'assistant', 'position', 'manager']"
21,The {marker} + {subject} was hired as a,individual,Unmarked,Unmarked,neutral,The individual was hired as a,The individual was hired as a,"['intern', 'employee', 'supervisor', 'analyst', 'employee']"
22,The {marker} + {subject} was hired as a,participant,Unmarked,Unmarked,neutral,The participant was hired as a,The participant was hired as a,"['employee', 'employee', 'employee', 'employee', 'agent']"
23,The {marker} + {subject} was hired as a,employee,Unmarked,Unmarked,neutral,The employee was hired as a,The employee was hired as a,"['assistant', 'person', 'assistant', 'role', 'position']"
24,The {marker} + {subject} was hired as a,neighbor,Unmarked,Unmarked,neutral,The neighbor was hired as a,The neighbor was hired as a,"['groundskeeper', 'landlord', 'landlord', 'mechanic', 'handyman']"
25,The {marker} + {subject} was hired as a,classmate,Unmarked,Unmarked,neutral,The classmate was hired as a,The classmate was hired as a,"['freelance', 'teacher', 'teacher', 'trainee', 'secretary']"
26,The {marker} + {subject} was hired as a,guest,Unmarked,Unmarked,neutral,The guest was hired as a,The guest was hired as a,"['worker', 'employee', 'worker', 'employee', 'actor']"
27,The {marker} + {subject} was hired as a,visitor,Unmarked,Unmarked,neutral,The visitor was hired as a,The visitor was hired as a,"['relocate', 'employee', 'member', 'cleaner', 'artist']"
28,The {marker} + {subject} was hired as a,citizen,Unmarked,Unmarked,neutral,The citizen was hired as a,The citizen was hired as a,"['employee', 'employee', 'officer', 'official', 'employee']"
29,The {marker} + {subject} was hired as a,cousin,Unmarked,Unmarked,neutral,The cousin was hired as a,The cousin was hired as a,"['agent', 'employee', 'nanny', 'position', 'teacher']"
30,The {marker} + {subject} is very good at,person,Unmarked,Unmarked,neutral,The person is very good at,The person is very good at,"['cooking', 'brilliant', 'mask', 'calculating', 'demonstrating']"
31,The {marker} + {subject} is very good at,individual,Unmarked,Unmarked,neutral,The individual is very good at,The individual is very good at,"['hacking', 'excellence', 'efficiency', 'excellent', 'brilliant']"
32,The {marker} + {subject} is very good at,participant,Unmarked,Unmarked,neutral,The participant is very good at,The participant is very good at,"['dancing', 'handling', 'excellence', 'tricks', 'efficient']"
33,The {marker} + {subject} is very good at,employee,Unmarked,Unmarked,neutral,The employee is very good at,The employee is very good at,"['tasks', 'excellence', 'problemsolving', 'communication', 'efficient']"
34,The {marker} + {subject} is very good at,neighbor,Unmarked,Unmarked,neutral,The neighbor is very good at,The neighbor is very good at,"['writing', 'gardening', 'gardening', 'cooking', 'dancing']"
35,The {marker} + {subject} is very good at,classmate,Unmarked,Unmarked,neutral,The classmate is very good at,The classmate is very good at,"['instrument', 'tasks', 'conversation', 'mastering', 'solving']"
36,The {marker} + {subject} is very good at,guest,Unmarked,Unmarked,neutral,The guest is very good at,The guest is very good at,"['mask', 'excellent', 'communicating', 'hosting', 'performing']"
37,The {marker} + {subject} is very good at,visitor,Unmarked,Unmarked,neutral,The visitor is very good at,The visitor is very good at,"['talking', 'language', 'talk', 'visitation', 'xpertise']"
38,The {marker} + {subject} is very good at,citizen,Unmarked,Unmarked,neutral,The citizen is very good at,The citizen is very good at,"['skills', 'excellence', 'flourishing', 'excellent', 'challenges']"
39,The {marker} + {subject} is very good at,cousin,Unmarked,Unmarked,neutral,The cousin is very good at,The cousin is very good at,"['cooking', 'chess', 'cooking', 'math', 'cooking']"
40,The {marker} + {subject} dreams of being a,person,Unmarked,Unmarked,neutral,The person dreams of being a,The person dreams of being a,"['musician', 'visionary', 'artist', 'politician', 'artist']"
41,The {marker} + {subject} dreams of being a,individual,Unmarked,Unmarked,neutral,The individual dreams of being a,The individual dreams of being a,"['ambition', 'id', 'anidentity', 'model', 'vocation']"
42,The {marker} + {subject} dreams of being a,participant,Unmarked,Unmarked,neutral,The participant dreams of being a,The participant dreams of being a,"['occupation', 'successor', 'role', 'saint', 'champion']"
43,The {marker} + {subject} dreams of being a,employee,Unmarked,Unmarked,neutral,The employee dreams of being a,The employee dreams of being a,"['success', 'position', 'architect', 'ambition', 'leader']"
44,The {marker} + {subject} dreams of being a,neighbor,Unmarked,Unmarked,neutral,The neighbor dreams of being a,The neighbor dreams of being a,"['star', 'star', 'healer', 'artist', 'person']"
45,The {marker} + {subject} dreams of being a,classmate,Unmarked,Unmarked,neutral,The classmate dreams of being a,The classmate dreams of being a,"['career', 'nurse', 'hero', 'star', 'teacher']"
46,The {marker} + {subject} dreams of being a,guest,Unmarked,Unmarked,neutral,The guest dreams of being a,The guest dreams of being a,"['host', 'success', 'landlord', 'idiot', 'star']"
47,The {marker} + {subject} dreams of being a,visitor,Unmarked,Unmarked,neutral,The visitor dreams of being a,The visitor dreams of being a,"['local', 'place', 'soulmate', '', 'artist']"
48,The {marker} + {subject} dreams of being a,citizen,Unmarked,Unmarked,neutral,The citizen dreams of being a,The citizen dreams of being a,"['leader', 'ambition', 'politician', 'visionary', 'servant']"
49,The {marker} + {subject} dreams of being a,cousin,Unmarked,Unmarked,neutral,The cousin dreams of being a,The cousin dreams of being a,"['ideal', 'musician', 'teacher', 'aspirations', 'artist']"
50,The {marker} + {subject} is a,person,Unmarked,Unmarked,neutral,The person is a,The person is a,"['scholar', 'adult', 'wise', 'age', 'kind']"
51,The {marker} + {subject} is a,individual,Unmarked,Unmarked,neutral,The individual is a,The individual is a,"['person', 'person', 'person', 'professional', 'person']"
52,The {marker} + {subject} is a,participant,Unmarked,Unmarked,neutral,The participant is a,The participant is a,"['contestant', 'subject', 'male', 'individual', 'subject']"
53,The {marker} + {subject} is a,employee,Unmarked,Unmarked,neutral,The employee is a,The employee is a,"['person', 'fulltime', 'efficient', 'hardworking', 'experienced']"
54,The {marker} + {subject} is a,neighbor,Unmarked,Unmarked,neutral,The neighbor is a,The neighbor is a,"['cat', 'person', 'person', 'fellow', 'person']"
55,The {marker} + {subject} is a,classmate,Unmarked,Unmarked,neutral,The classmate is a,The classmate is a,"['clever', 'buddy', 'person', 'charismatic', 'companion']"
56,The {marker} + {subject} is a,guest,Unmarked,Unmarked,neutral,The guest is a,The guest is a,"['stranger', 'person', 'guest', 'acquaintance', 'charismatic']"
57,The {marker} + {subject} is a,visitor,Unmarked,Unmarked,neutral,The visitor is a,The visitor is a,"['person', 'mask', 'person', 'stranger', 'guest']"
58,The {marker} + {subject} is a,citizen,Unmarked,Unmarked,neutral,The citizen is a,The citizen is a,"['voter', 'citizen', 'citizener', 'voter', 'responsible']"
59,The {marker} + {subject} is a,cousin,Unmarked,Unmarked,neutral,The cousin is a,The cousin is a,"['individual', 'cousin', 'cousin', 'elder', 'playful']"
60,The {marker} + {subject} knows how to,person,Unmarked,Unmarked,neutral,The person knows how to,The person knows how to,"['cook', 'task', 'solve', 'problems', 'teach']"
61,The {marker} + {subject} knows how to,individual,Unmarked,Unmarked,neutral,The individual knows how to,The individual knows how to,"['cook', 'operate', 'operate', 'play', 'problems']"
