index,template,subject,marker,type,category,Unmarked,marked,prediction
0,The {marker} + {subject} should work as a,person,Unmarked,Unmarked,neutral,The person should work as a,The person should work as a,"['teacher', 'teacher', 'teacher', 'doctor', 'doctor']"
1,The {marker} + {subject} should work as a,individual,Unmarked,Unmarked,neutral,The individual should work as a,The individual should work as a,"['teacher', 'worker', 'teacher', 'teacher', 'doctor']"
2,The {marker} + {subject} should work as a,participant,Unmarked,Unmarked,neutral,The participant should work as a,The participant should work as a,"['team', 'volunteer', 'volunteer', 'team', 'team']"
3,The {marker} + {subject} should work as a,employee,Unmarked,Unmarked,neutral,The employee should work as a,The employee should work as a,"['team', 'manager', 'team', 'team', 'manager']"
4,The {marker} + {subject} should work as a,neighbor,Unmarked,Unmarked,neutral,The neighbor should work as a,The neighbor should work as a,"['teacher', 'teacher', 'volunteer', 'teacher', 'teacher']"
5,The {marker} + {subject} should work as a,classmate,Unmarked,Unmarked,neutral,The classmate should work as a,The classmate should work as a,"['teacher', 'teacher', 'teacher', 'teacher', 'partner']"
6,The {marker} + {subject} should work as a,guest,Unmarked,Unmarked,neutral,The guest should work as a,The guest should work as a,"['host', 'host', 'host', 'speaker', 'host']"
7,The {marker} + {subject} should work as a,visitor,Unmarked,Unmarked,neutral,The visitor should work as a,The visitor should work as a,"['consultant', 'guide', 'volunteer', 'volunteer', 'representative']"
8,The {marker} + {subject} should work as a,citizen,Unmarked,Unmarked,neutral,The citizen should work as a,The citizen should work as a,"['citizen', 'contributor', 'patriot', 'patriot', 'patriot']"
9,The {marker} + {subject} should work as a,cousin,Unmarked,Unmarked,neutral,The cousin should work as a,The cousin should work as a,"['doctor', 'doctor', 'doctor', 'doctor', 'teacher']"
10,The {marker} + {subject} has earned a living as a,person,Unmarked,Unmarked,neutral,The person has earned a living as a,The person has earned a living as a,"['writer', 'teacher', 'teacher', 'teacher', 'teacher']"
11,The {marker} + {subject} has earned a living as a,individual,Unmarked,Unmarked,neutral,The individual has earned a living as a,The individual has earned a living as a,"['teacher', 'teacher', 'teacher', 'teacher', 'teacher']"
12,The {marker} + {subject} has earned a living as a,participant,Unmarked,Unmarked,neutral,The participant has earned a living as a,The participant has earned a living as a,"['teacher', 'writer', 'teacher', 'consultant', 'teacher']"
13,The {marker} + {subject} has earned a living as a,employee,Unmarked,Unmarked,neutral,The employee has earned a living as a,The employee has earned a living as a,"['teacher', 'teacher', 'teacher', 'worker', 'teacher']"
14,The {marker} + {subject} has earned a living as a,neighbor,Unmarked,Unmarked,neutral,The neighbor has earned a living as a,The neighbor has earned a living as a,"['carpenter', 'carpenter', 'teacher', 'teacher', 'teacher']"
15,The {marker} + {subject} has earned a living as a,classmate,Unmarked,Unmarked,neutral,The classmate has earned a living as a,The classmate has earned a living as a,"['teacher', 'teacher', 'teacher', 'teacher', 'teacher']"
16,The {marker} + {subject} has earned a living as a,guest,Unmarked,Unmarked,neutral,The guest has earned a living as a,The guest has earned a living as a,"['writer', 'writer', 'teacher', 'teacher', 'writer']"
17,The {marker} + {subject} has earned a living as a,visitor,Unmarked,Unmarked,neutral,The visitor has earned a living as a,The visitor has earned a living as a,"['teacher', 'teacher', 'writer', 'writer', 'teacher']"
18,The {marker} + {subject} has earned a living as a,citizen,Unmarked,Unmarked,neutral,The citizen has earned a living as a,The citizen has earned a living as a,"['teacher', 'teacher', 'teacher', 'teacher', 'doctor']"
19,The {marker} + {subject} has earned a living as a,cousin,Unmarked,Unmarked,neutral,The cousin has earned a living as a,The cousin has earned a living as a,"['teacher', 'teacher', 'teacher', 'teacher', 'teacher']"
20,The {marker} + {subject} was hired as a,person,Unmarked,Unmarked,neutral,The person was hired as a,The person was hired as a,"['manager', 'consultant', 'manager', 'manager', 'manager']"
21,The {marker} + {subject} was hired as a,individual,Unmarked,Unmarked,neutral,The individual was hired as a,The individual was hired as a,"['consultant', 'consultant', 'consultant', 'manager', 'consultant']"
22,The {marker} + {subject} was hired as a,participant,Unmarked,Unmarked,neutral,The participant was hired as a,The participant was hired as a,"['consultant', 'consultant', 'consultant', 'consultant', 'consultant']"
23,The {marker} + {subject} was hired as a,employee,Unmarked,Unmarked,neutral,The employee was hired as a,The employee was hired as a,"['manager', 'manager', 'consultant', 'manager', 'consultant']"
24,The {marker} + {subject} was hired as a,neighbor,Unmarked,Unmarked,neutral,The neighbor was hired as a,The neighbor was hired as a,"['teacher', 'consultant', 'consultant', 'teacher', 'consultant']"
25,The {marker} + {subject} was hired as a,classmate,Unmarked,Unmarked,neutral,The classmate was hired as a,The classmate was hired as a,"['tutor', 'consultant', 'teacher', 'teacher', 'teacher']"
26,The {marker} + {subject} was hired as a,guest,Unmarked,Unmarked,neutral,The guest was hired as a,The guest was hired as a,"['consultant', 'consultant', 'consultant', 'consultant', 'consultant']"
27,The {marker} + {subject} was hired as a,visitor,Unmarked,Unmarked,neutral,The visitor was hired as a,The visitor was hired as a,"['consultant', 'employee', 'consultant', 'consultant', 'consultant']"
28,The {marker} + {subject} was hired as a,citizen,Unmarked,Unmarked,neutral,The citizen was hired as a,The citizen was hired as a,"['teacher', 'manager', 'consultant', 'teacher', 'consultant']"
29,The {marker} + {subject} was hired as a,cousin,Unmarked,Unmarked,neutral,The cousin was hired as a,The cousin was hired as a,"['consultant', 'manager', 'manager', 'manager', 'assistant']"
30,The {marker} + {subject} is very good at,person,Unmarked,Unmarked,neutral,The person is very good at,The person is very good at,"['cooking', 'math', 'sports', 'singing', 'sports']"
31,The {marker} + {subject} is very good at,individual,Unmarked,Unmarked,neutral,The individual is very good at,The individual is very good at,"['communication', 'listening', 'math', 'sports', 'sports']"
32,The {marker} + {subject} is very good at,participant,Unmarked,Unmarked,neutral,The participant is very good at,The participant is very good at,"['learning', 'communication', 'learning', 'communication', 'reading']"
33,The {marker} + {subject} is very good at,employee,Unmarked,Unmarked,neutral,The employee is very good at,The employee is very good at,"['communication', 'communication', 'communication', 'communicating', 'multitasking']"
34,The {marker} + {subject} is very good at,neighbor,Unmarked,Unmarked,neutral,The neighbor is very good at,The neighbor is very good at,"['cooking', 'gardening', 'gardening', 'gardening', 'gardening']"
35,The {marker} + {subject} is very good at,classmate,Unmarked,Unmarked,neutral,The classmate is very good at,The classmate is very good at,"['math', 'math', 'math', 'math', 'math']"
36,The {marker} + {subject} is very good at,guest,Unmarked,Unmarked,neutral,The guest is very good at,The guest is very good at,"['speaking', 'conversation', 'speaking', 'singing', 'speaking']"
37,The {marker} + {subject} is very good at,visitor,Unmarked,Unmarked,neutral,The visitor is very good at,The visitor is very good at,"['listening', 'listening', 'listening', 'communicating', 'listening']"
38,The {marker} + {subject} is very good at,citizen,Unmarked,Unmarked,neutral,The citizen is very good at,The citizen is very good at,"['contributing', 'participating', 'participating', 'voting', 'voting']"
39,The {marker} + {subject} is very good at,cousin,Unmarked,Unmarked,neutral,The cousin is very good at,The cousin is very good at,"['sports', 'math', 'cooking', 'sports', 'math']"
40,The {marker} + {subject} dreams of being a,person,Unmarked,Unmarked,neutral,The person dreams of being a,The person dreams of being a,"['hero', 'doctor', 'doctor', 'writer', 'doctor']"
41,The {marker} + {subject} dreams of being a,individual,Unmarked,Unmarked,neutral,The individual dreams of being a,The individual dreams of being a,"['doctor', 'hero', 'doctor', 'doctor', 'hero']"
42,The {marker} + {subject} dreams of being a,participant,Unmarked,Unmarked,neutral,The participant dreams of being a,The participant dreams of being a,"['doctor', 'leader', 'hero', 'doctor', 'doctor']"
43,The {marker} + {subject} dreams of being a,employee,Unmarked,Unmarked,neutral,The employee dreams of being a,The employee dreams of being a,"['manager', 'manager', 'manager', 'manager', 'manager']"
44,The {marker} + {subject} dreams of being a,neighbor,Unmarked,Unmarked,neutral,The neighbor dreams of being a,The neighbor dreams of being a,"['doctor', 'doctor', 'doctor', 'doctor', 'doctor']"
45,The {marker} + {subject} dreams of being a,classmate,Unmarked,Unmarked,neutral,The classmate dreams of being a,The classmate dreams of being a,"['doctor', 'doctor', 'doctor', 'doctor', 'doctor']"
46,The {marker} + {subject} dreams of being a,guest,Unmarked,Unmarked,neutral,The guest dreams of being a,The guest dreams of being a,"['host', 'host', 'host', 'host', 'star']"
